identifier,text
LatinumB:7.1,peregrinus sum ex parvus oppidum italiae romam venio campus martium ignoro etiam fores romanum ego ignosco sum fores video cupio nam multus aedificium clarus in forum romano sum scio oro tu marcus eo ego in fores marcus libet tu is in fores eo tu templum deus vel alius aedificium forus monstro ego gaudium sum marcus cum lucius fores adeo via arduus ad capitolium eo via amicus magnus labor sum de capitolio fores specto lucius video is magnus aedificium dico ego nomen aedificium marcus nomen aedificium basilicon iulia sum magnus opus sum lucius is opus multus alius aedificium forus cum gaudium specto tum amicus forum exeo campus martium ineo in campus martio magnus theatrum appropinquo marcus theatrum tempus pompei aedifico sum ecce in tabula nomen pompei sum ito homo memoria nomen pompei etiam hodie servo in theatrum opus et fabula non solus poeta antiquus sed etiam hodiernus ago lucius nomen et opus poeta clarus non ignoro fabula antiquus tempus ego delecto nam memoria antiquus tempus ego gaudium sum marcus multus jam specto cunctus video hodie nos non liceo nam tempus nos deus ito ego domus abeo amicus
LatinumB:8.1,tiberius qui ludus gladiatorius validus amo cum lucius in amphitheatrum eo nam hodie imperator ludus do tiberius lucius interrogo video bestia qui ex a-frico sum specto ursus qui hodie leo pugno video gladiator venio spectator vir qui magnus et pulcher pompo in harena intro clamor saluto tum imperator signum pugna do duo gladiator qui mortifer arma sum primus in harena pugno thrax et retiarius thrax gladius cum retiarius pugno qui reor et fuscina arma sum spectator qui numerus magnus sum vir magnus clamor ad pugna incito tandem retiarius thracem qui gladius frango sum reor involvo vir miser victor clementia imploro spectator imperator vir miser mitto jubeo nam magnus virtus pugno tum alius gladiator cum bestia pugno vir bestia qui ex porta carcer provolo sagitta caedo tandem leo et ursus in harena curro bestia qui duo servus ad pugna incito diu pugno leo vinco servus ursus qui multus vulnus confacio sum ex harena traho tiberius lucius interrogo delecto tu ludo amicus respondeo lucius parvus delecto ego spectaculum qui video non pulcher sed inhumanus sum puto gloria qui ille vir miser peto gloria malus sum ego quidem dico qui homo amphitheatrum ineo bestia ex amphitheatrum exeo
LatinumB:9.1,nonne audio marcus nuntius malus qui mercator ex germania apporto marcus audio sed res certus non cognosco jam rumor nos magnus terror sum lucius germanus tres legio romanas magnus pugno deleo pauci miles sui fuga servo gaius ego dico augustus res publicus non bene consulo et imperium romanum malus ab germanus defendo lucius ineptus dico gai augustus finis imperium multus legio bene defendo ego miles sub tiberio caesare in germania sum castellum multus ad rhenum pono gaius pugno cum germanus pugna intersum lucius intersum germanus multus pugna supero gaius tu miles bonus sum non ignoro lucius sed tu interrogo nonne specto gladiator germanus qui nuper in harena pugno marcus ito servus germanus qui specto magnus virtus pugno ito metuo virtus germanus
LatinumB:10.1,antiquus tempus rex civitas romanam rego romulus conditor urbs romae et primus romanorum rex urbs novus et libertas civis ab hostis semper defendo imperium populus romani augeo qui romani semper magnus in honor habeo aliquando rex copia romanas recenseo cupio et civis romanos in campus martium voco multus hora in tribunal sedeo ex qui copia recenseo subito magnus tempestas appropinquo nimbus densus rex occulto deinde romulus in terra non jam sum diu civis romani in campus martio sto et taceo tandem miles senator magnus cum timor domus eo in iter alius alius iterum iterum interrogo nonne etiam tu in campus martio adsum adsum totus dies prope tribunal sto quis dico num deus romulum filius martes deus et dux nos clarus ex terra tollo ego quidem pater romulum nacavisse puto nonne rex nos pater invidia sum saepis audio
LatinumB:11.1,et juvenis et vir romani saepis cum gaudium pila ludo
LatinumB:11.2,etiam in via locus publicus interdum pila jacto
LatinumB:11.3,quamquam ibi laboro faber et sum magnus copia homo
LatinumB:11.4,aliquando tonsor qui tempestas bonus sum ex consuetudo faber locus publicus sella habeo
LatinumB:11.5,acuo cutello servus rado
LatinumB:11.6,sed juvenis nonnullus qui ibi pila ludo tonsor non animadverto qui locus plenus homo sum
LatinumB:11.7,ludo gaudeo nihil malus exspecto cum subito pila ad manon tonsor volo
LatinumB:11.8,praecisum sum gula servus et dominus juvenis postquam is in judicium voco de mors servus accuso
LatinumB:11.9,quamquam judicium ignoro tamen causa cognosco qui nonnullus jus consulo de is respondeo
LatinumB:11.10,alius in tonsor sum culpa si ibi rado ubi ex consuetudo juvenis ludo
LatinumB:11.11,alius contra pars culpa etiam in servus sum qui scio debeo locus ubi tonsor rado plenus periculum sum
LatinumB:11.12,interrogo in qui culpa sum qui judex punivit
LatinumB:11.13,quis dominus servus damnum restituo debeo
LatinumB:11.14,an nemo dominus servus pecunia debeo qui neque tonsor neque juvenis sed malus fortuna res deleo
LatinumB:11.15,res ito nam romani servus pro res habeo
LatinumB:11.16,ito jus sum ito lego romanae jubeo
LatinumB:12.1,tertius p chr n saeculum imperator romanus et ab civis et ab incolo provincia ut deus colo et timeo
LatinumB:12.2,sed christiani qui deus magnus qui imperator pareo homo ut deus colo nego
LatinumB:12.3,ito multus christiani ab miles capio et in judicium traho
LatinumB:12.4,in ago martyrum lego christiani in judicium traho et ab judex interrogo
LatinumB:12.5,accuso qui christiani et hostis imperium romani sum
LatinumB:12.6,nemo ad judex duco si lex paro imperator dominus nos ut deus colo
LatinumB:12.7,nunc autrem clementia caesaris finis habeo qui caesar ab tu non colo
LatinumB:12.8,jubeo tu ad mors duco
LatinumB:12.9,nonne terreo periculum mors
LatinumB:12.10,et tu qui sacerdos hic religio sum video respondeo
LatinumB:12.11,nonne terreo periculum mors si jam in harena duco et ab bestia neco
LatinumB:13.1,postquam romani tarquinium rex ex urbs pello porsenna rex clusinorum qui amicus tarquinii sum magnus cum exercitus etruscorum urbs romam peto
LatinumB:13.2,ubi exercitus porsennae urbs appropinquo romani validus terreo sum
LatinumB:13.3,agricola metus hostis in urbs fugio
LatinumB:13.4,porta urbs ab primus hostis impetus magnus labor defendo sum
LatinumB:13.5,urbs paene expugno sum
LatinumB:13.6,pons qui in flumen tiberi sum jubeo magistratus deleo sum
LatinumB:13.7,tantus sum metus et senatus et populus romani
LatinumB:13.8,postquam castra etruscorum ad tiberim pono sum exercitus porsennae urbs obsideo
LatinumB:13.9,tandem senatus qui civis magnus inopia frumentum vexo video magistratus nonnullus ad rex mitto pax peto
LatinumB:13.10,porsenna magistratus respondeo
LatinumB:13.11,paro sum cum exercitus etruscorum abeo si multus juvenis multus virgo nobilis obsido do
LatinumB:13.12,qui senatus vester nuntio
LatinumB:13.13,jubeo senatus magistratus pax facio
LatinumB:14.1,tertius ab chr n saeculum romani cum poenio qui carthaginem magnus africae urbs incolo de sicilia bellum gero
LatinumB:14.2,qui insula frumentum alius divitiae abundo
LatinumB:14.3,romani postquam poenos vinco hostis ex sicilia pello
LatinumB:14.4,sicilia primus imperium romani provincia facio sum
LatinumB:14.5,poenio magnus et divitiae plenus terra sui rapio sum cum dolor tolero
LatinumB:14.6,ito hamilcar dux poenorum magnus cum exercitus in hispaniam invado ubi novus terra imperium poenorum addo
LatinumB:14.7,aliquando hamilcarem hannibalem filius suus puer novo annus sui in templum duco titus livius narro
LatinumB:14.8,qui in templum puer sacro manus tango jubeo
LatinumB:14.9,juror puer sui hostis populus romani sum semper hostis sum
LatinumB:14.10,et gero hannibal post pater mors magnus et romanis perniciosus bellum
LatinumB:15.1,secundo ab chr n saeculum romani dominus paene totus orba terra sum
LatinumB:15.2,quamquam is tempus exercitus populus romani in asia graeciam hispaniam invado magistratus romani is populus lego do is res non cunctus civis prosum
LatinumB:15.3,domus multus agricola in egestas inopia vivo
LatinumB:15.4,is res multus affero causa
LatinumB:15.5,qui unus sum qui agricola cum filius multus annus procul ab italia bellum gero debeo
LatinumB:15.6,dum absum ager is non nitor malus ab femina pauca servus colo possum
LatinumB:15.7,alius causa sum qui senator postquam is bellum qui in asia gero magnus divitiae confero multus servus in domus praedium duco is ager qui ab agricola miser relinquerbantur coemo et in latifundium redigo
LatinumB:15.8,is ager non jam ab civis libet sed ab servus colo
LatinumB:15.9,qui de causa multus agricola libet in egestas inopia extremo pello sum
LatinumB:15.10,multus sui romam confero ubi fortuna miser fero
LatinumB:16.1,primus ab chr n saeculum catilina senator cum pauca conjuro contra res publicus
LatinumB:16.2,sed is conjuratio detego sum ab m tullio cicerone consulo
LatinumB:16.3,qui postquam senatus in templum io convoco catilinam is ferus verbum accuso
LatinumB:16.4,qui usque tandem vexo catilina res publicus noster
LatinumB:16.5,quamdiu etiam furor tuus nos terreo
LatinumB:16.6,qui ad finis ago malus tuus consilium
LatinumB:16.7,quando denique finio insidiae vester vester conjuratio
LatinumB:16.8,certus verbum meus pater conscribo catilinam is socius non deterreo
LatinumB:16.9,sed aperio tu totus periculum
LatinumB:16.10,dico tu nomen conjuro
LatinumB:16.11,demonstro tu res publicus inimicus
LatinumB:16.12,pateo consilium pateo scelus is
LatinumB:16.13,defendo tandem libertas defendo denique vita vester
LatinumB:16.14,noster enim res ago pater conscribo
LatinumB:16.15,an spero deus inimicus populus romani punior sum
LatinumB:16.16,aut puto deus res publicus servo sum si nos bonus attendo non sum si nos res publicus contra malus homo non defendo
LatinumB:16.17,non terreo neque terreo insidiae tuus catilina tamen tu ex urbs in exilis eo jubeo
LatinumB:16.18,liber nos tantus metus mors
LatinumB:16.19,tum demos respiro possum
LatinumB:16.20,ego consul cunctus bonus promitto ego patrius non desum exercitus res publicus contra is copia duco qui tu jam in castra cogo ad pernicies noster
LatinumB:17.1,primus ab chr n saeculum pirata mas internus navis suus cunctus homo infestus reddo
LatinumB:17.2,nam exercitus romani bello diripio multus gens in ulter miseria inopia pello
LatinumB:17.3,ito multus homo perdo ad rapio incito
LatinumB:17.4,primus pirata navis mercator opprimo et mercator ceter qui negotium causa per mas navigo capio
LatinumB:17.5,deinde etiam in insula litus portus italiae impetus facio audeo
LatinumB:17.6,nullus sum praesidium in classis romana
LatinumB:17.7,fama pirata et timor civis in dies cresco
LatinumB:17.8,mox neo facultas navigo do
LatinumB:17.9,mox timor pirata litus portus desero
LatinumB:17.10,mox frumentum urbs romae desum
LatinumB:17.11,etiam magistratus romani ab pirata capio cum officium causa in provincia navigo
LatinumB:18.1,ut vergilius poeta nobilis narro aeneus filius anchisis vir mortalis et venio dea immortalis sum
LatinumB:18.2,decem annus cum alius vir fors troiam ab impetus acer graecorum defendo
LatinumB:18.3,postquam autem urbs infelix consilium deus immortalis expugno deleo sum
LatinumB:18.4,aeneus jubeo venio mater ex caedo ingens effugio et cum pater anchise iulus filius pauca fors socius patrius relinquo
LatinumB:18.5,navis celer troiani in thraciam ito facio
LatinumB:18.6,sed omen horribilis is locus deterreo sum ito alius terra alius insula peto
LatinumB:18.7,tandem apollo oraculum is mater antiquus quaero jubeo
LatinumB:18.8,diu de is verbum consulo tandem anchises dico
LatinumB:18.9,ego italiam mater antiquus sum puto nam ex is terra dardanum proavus troianorum olim in asia venio fama sum
LatinumB:18.10,ito italiam peto
LatinumB:19.1,troiani ab regina tantus humanitas saluto libet urbs domus regina intro
LatinumB:19.2,ubi dis-do aeneus is socius magnus convivium paro
LatinumB:19.3,aeneus ab regina jubeo tristis interitus troiae longus error ingens periculum narro
LatinumB:19.4,in narro lacrima teneo vix possum
LatinumB:19.5,dis-do autem amor vir insignio incensus aeneus sui maritus sum spero cupio
LatinumB:19.6,etiam aeneus benevolentia regina pulcher commoveo cum troianis carthagine maneo cogito
LatinumB:19.7,sed mercurius nuntius deus ab io mitto aeneus ito increpo
LatinumB:19.8,num officium et pietas erga numen deus immortalis ex memoria depono
LatinumB:19.9,an ignoro iovem gens tuus regnum italiae quin etiam regnum totus orba terra promitto
LatinumB:19.10,nonne tu commoveo tantus gloria res
LatinumB:19.11,iuppiter tu statim navis solvo jubeo
LatinumB:19.12,dolor et tristitia vexo pareo aeneus africamque relinquo
LatinumB:19.13,dis-do autem infelix omnis spes deicio mors sui conscio
LatinumB:20.1,gaius iulius caesar octavium juvenis testamentum filius et heres adopto
LatinumB:20.2,qui post caesaris caedes exercitus privo sumo comparo ut auctor caedo punior
LatinumB:20.3,postquam octavianus ex longus bellum civile victor romam redeo
LatinumB:20.4,desiderium pax apud omnis tantus sum ut senatus populus is dicto offero
LatinumB:20.5,octavianus autem dicto sui offero non accipio
LatinumB:20.6,quin etiam res publicus in senatus populus romani potestas reddo
LatinumB:20.7,qui pro mereor ab senatus augustus appello sum
LatinumB:20.8,praeterea lego sanctus sum ut sacrosanctus sum is per totus vita potestas tribunus plebs defero
LatinumB:20.9,qui ex tempus auctoritas princeps tantus sum ut omnis praesto
LatinumB:20.10,sed dominus appellatio edico veto neo invidia atque odium civis senator commoveo
LatinumB:20.11,coeptus succedo ito ut civis is pax et bonus res publicus auctor dico
LatinumB:20.12,saepis fio ut ianus quirinus ab is claudo qui terra marum pax sum
LatinumB:20.13,sed unus magnus clades accipio
LatinumB:20.14,quintilius varus dux cum tres legio in germania caedo sum
LatinumB:20.15,postquam is romam affero sum augustus adeo dolor et tristitia commoveo ut interdum magnus vox clamo
LatinumB:20.16,quintili varus legio reddo
LatinumB:20.17,per totus urbs miles dispono jubeo qui timeo neo romae tumultus fio
LatinumB:20.18,edico ut is dies nefastus habeo
LatinumB:20.19,ante mors augustus amicus interrogo
LatinumB:20.20,nonne tu video mimus vita commodum transigo
LatinumB:21.1,syracusae magnus et dives siciliae urbs bellus punico secundo miser sors afficio
LatinumB:21.2,urbs ab exercitus romano capio miles diripio causa domus invado
LatinumB:21.3,memoria prodeo sum is in tumultus etiam archimedem mathematicus praeclarus intentus in formo qui in pulvis scribo ab miles quodam romano interficio sum
LatinumB:21.4,archimede interfacio marcellus imperator romanus doleo sepelio honorificus cura habeo
LatinumB:22.1,antiquus tempus romani is praecipuus colo deus qui agricola in ager colo adjuvo
LatinumB:22.2,multus dies festus agricola ago
LatinumB:22.3,pater familia victima circo ager duco arvus lustror et lar deus domus et ager invoco
LatinumB:22.4,oro tu ut ego domus familia noster propitius sum
LatinumB:22.5,qui res causa suovetaurilia circo ager meus ago jubeo
LatinumB:22.6,facio ut frumentum bene evenio et pecus ab morbus malus atque calamitas defendo
LatinumB:22.7,domus servo causa colo deus penates
LatinumB:22.8,vesta dea oro neo ignis focus desum
LatinumB:23.1,bellus civilis confacio vespasianus imperator ito per alexandriam facio ab plebs ille urbs undique concurro saluto sum
LatinumB:23.2,ille imperator ut pater patrius et salus novus auctor quasi deus colo
LatinumB:23.3,subito homo morbus oculus vexo ex ille multitudo ante pedo is volvo remedium caecitas posco
LatinumB:23.4,magnus vox clamo sui ab serapide deus per somnium monitus ut romanorum imperator adeo
LatinumB:23.5,interrogo autem vespasiano qui res tu auxilium fero oro ille ut oculus spargo aurum excrementum
LatinumB:23.6,imperator rideo nego
LatinumB:23.7,at ille insto vespasianus primus fama vanitas metuo deinde vox suadeo adduco medicus de ille res consulo
LatinumB:23.8,qui autem respondeo vis oculus ille nondum deleo et redeo si adhibeo vis saluber vespasianus ille deus fortasse cor sum puto
LatinumB:23.9,igitur non jam dubito facio ille qui postulo
LatinumB:23.10,et redeo caecus lux
urn:cts:latinLit:phi0448.phi001.perseus-lat1:2.11.1,is res constituo secundus vigilia magnus cum strepitus atque tumultus castra egredior nullus certus ordo neque imperium cum sui quisque primus iter locus peto et domus pervenio propero facio ut consimilis fuga profectio video
urn:cts:latinLit:phi0448.phi001.perseus-lat1:5.33.2,at cotta qui cogito hic possum in iter accido atque ob is causa profectio auctor non sum nullus in res communio salus desum et in appello cohorto miles imperator et in pugno miles officium praesto
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.35.6,vercingetorix res cognosco neo contra suus voluntas dimico cogo magnus iter antecedo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:8.6.4,ito quantus hibernum opportunitas bellum ratio postulo perpetuus suus labor in vicis legio expeditio onus injungo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:8.14.4,ito cum palus impedito ab castra castra divido video qui transeo difficultas celeritas insequor tardo possum atque is jugus qui trans palus paene ad hostis castra pertineo mediocris vallus ab castra is intercido animus adverto pons palus constratum legio traduco celeriter in summa planities jugo pervenio qui declivis fastigium duo ab latus munio
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.19.1,qui res cognosco cum ad hic suspicio certus res accedo qui per finis sequanorum helvetios traduco qui obsido inter is do curo qui is omnis non modus injussus suus et civitas sed etiam insciens ipse facio qui ab magistratus haeduorum accuso satis sum causa arbitror quare in is aut ipse animadverto aut civitas animadverto jubeo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:2.16.1,hic res cognosco explorator centurio praemitto qui locus castra idoneus deligo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:3.14.10,deicio ut dico antenna cum singulus bini atque terni navis circumsto miles superus vis transcendo in hostis navis contendo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:3.21.1,arma obsidibusque accipio crassus in finis vocatium et tarusatium proficiscor sum
urn:cts:latinLit:phi0448.phi001.perseus-lat1:4.21.6,qui audio liberalis polliceor hortatus ut in is sententia permaneo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:4.29.3,complura navis frango reliquus cum sum funis ancora reliquus armamenta amitto ad navigo inutilis magnus is qui necesse sum accido totus exercitus perturbatio facio sum
urn:cts:latinLit:phi0448.phi001.perseus-lat1:5.4.2,hic adduco in is filius propinqua is omnis qui nominatim evoco consolor indutiomarum hortatus sum utor in officium maneo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:5.8.1,hic res gero labieno in contineo cum tres legio et equio mille duo relinquo ut portus tueor et res frumentarius provideo quisque in gallia gero cognosco consilium pro tempus et pro res capio
urn:cts:latinLit:phi0448.phi001.perseus-lat1:5.23.2,hic deduco qui et captivus magnus numerus habeo et nonnullus tempestas depereo navis duo commeatus exercitus reporto instituo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:5.56.4,hic res confacio in concilio pronuntio arcesso sui ab senonibus et carnutibus alius complura galliae civitas
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.8.1,hic res comparo repressor jam lucterio et removeo qui intro intro praesidium periculosus puto in helvios proficiscor
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.13.3,qui res confacio caesar ad oppidum avaricum qui sum magnus munio in finis biturigum atque ager fertilis regio proficiscor sum qui is oppidum recipio civitas biturigum sui in potestas redigo confido
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.20.12,qui proditio insimulo qui opus sino vester sanguis tantus exercitus victor fames consumo video qui turpis sui ex fuga recipio neo qui civitas suus finis recipio ab ego provideo sum
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.61.4,qui res audio qui existimo tres locus transeo legio atque omnis perturbo defectio aeduorum fuga paro suus quoque copia in tres pars distribuo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.13.1,hic proelium facio reliquus copia helvetiorum ut consequus possum pons in aro facio curo atque ito exercitus traduco
urn:cts:latinLit:phi0448.phi001.perseus-lat1:2.8.5,hic facio duo legio qui proximum conscribo in castra relinquo ut si qui opus sum subsidium duco possum reliquus vis legio pro castra in acies constituo hostis ito suus copia ex castra educo instruo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:2.32.2,ille ante ineo ut intellego sum consilium qui deditio facio noster praesidium deduco aut denique in-diligo servo credo pars cum is qui retineo et celo arma pars scutum ex cortex facio aut vimen intexo qui subito ut tempus exiguitas postulo pellis induco tertio vigilia qui parvus arduus ad noster munitio accenseo video omnis copia repo ex oppidum eruptio facio
urn:cts:latinLit:phi0448.phi001.perseus-lat1:3.4.1,brevi spatium interjectus vix ut is res qui constituo con-loco atque administro tempus do hostis ex omnis pars signum do decurro lapis gaesum in vallus co-jacio
urn:cts:latinLit:phi0448.phi001.perseus-lat1:3.6.4,qui proelium facio qui saepis fortuna tento galba nolo atque alius sui in hibernum consilium venio memini alius occurro res video magnus frumentum commeatus inopia permoveo posterus dies omnis is vinco aedificium incense in provincia reverto contendo
urn:cts:latinLit:phi0448.phi001.perseus-lat1:3.14.3,neque satis brutus qui classis praesum vel tribunus miles centurio qui singulus navis sum attribuo consto quis ago aut qui ratio pugna insisto
urn:cts:latinLit:phi0448.phi001.perseus-lat1:4.1.8,neque multus frumentum sed magnus pars lacteo atque pecus vivo multus sum in venatio
urn:cts:latinLit:phi0448.phi001.perseus-lat1:4.34.2,qui facio ad lacesso hostis et committo proelium alienum sum tempus arbitror suus sui locus contineo et brevi tempus intermissus in castra legio reduco
urn:cts:latinLit:phi0448.phi001.perseus-lat1:7.81.2,subito clamor tollo qui significatio qui in oppidum obsideo de suus adventus cognosco possum cratis proicio fundus sagitta lapis noster de vallus proturbo reliquus qui ad oppugnatio pertineo paro administro
