identifier,New Index,Record Index,origin_url,title,Date,Cartoonists,Publisher,Page no,description,Authorities
DCDL-0021187,11,13,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1518858,"Emmerson, Rod, 1955- :[Christchurch earthquake - raising the spire]. 26 February 2011",26/02/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH 26?,"The cartoon shows urban rescue workers from Britain, Singapore, Taiwan, Japan, the United States and Australia trying to raise a fallen church spire. Christchurch had suffered a devastating earthquake on February 22.
",Search and rescue operations (subject_authority)
DCDL-0017210,12,14,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412904,"Evans, Malcolm Paul, 1945-:[Christchurch earthquake and entrepreneurship] 3 March 2011",03/03/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper),TH 7,"A small boy is being an entrepreneur after the Christchurch earthquake of 22 February 2011 and has set up a road-side stall from which you can buy a bag of 'real leakyfakshun'. Behind him is a pile of liquefaction and a spade with which he can fill bags. Context is the Christchurch earthquake of 22 February which has caused liquefaction in many areas of the city.
",Soil liquefaction (subject_authority)
DCDL-0017156,13,15,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409953,"Hawkey, Allan Charles, 1941-:[Christchurch earthquake] 23 February 2011",23/02/2011,"Hawkey, Allan Charles",Waikato times (Newspaper),WT 18,Shows the face of a man with a large tear rolling down his cheek ; in the tear is the word 'Christchurch'. Context is sympathy for Christchurch following the earthquake on 22 February 2011.,Empathy (subject_authority)
DCDL-0021186,14,17,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1518856,"Emmerson, Rod, 1955- :[Christchurch earthquake - international rescue operation]. 25 February 2011",25/02/2011,"Emmerson, Rod",New Zealand herald (Newspaper),NZH A14,"The cartoon shows a giant New Zealand flag with a jagged tear through it. The tear is being sewn up by search and rescue workers from several countries. Context: urban rescue workers were continuing to arrive in Christchurch to search for survivors trapped in the rubble.
",Search and rescue operations (subject_authority)
DCDL-0017239,15,18,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/345881,"Slane, Christopher, 1957-:[Christchurch earthquake and politics] 4 March 2011",12/03/2011,"Slane, Christopher",Listener (Serial),L 13,"A policeman stops a queue of politicians at a checkpoint (presumably to the Red Zone) in Christchurch saying 'Sorry, no politics past this point'. In the queue are Prime Minister John Key, Minister of Finance Bill English carrying a ledger, leader of ACT Rodney Hide wearing his yellow jacket and carrying an axe and a saw and lastly leader of the Labour Party Phil Goff. Context - the Christchurch earthquake of 22 February 2011 and the danger of political point-scoring rather than serious co-operative work to rebuild Christchurch.
","Key, John Phillip (Rt Hon), 1961- (name_authority) # English, Simon William (Hon), 1961- (name_authority) # Hide, Rodney Philip (Hon), 1956- (name_authority) # Goff, Philip Bruce (Hon), 1953- (name_authority) # Political ethics (subject_authority)"
DCDL-0017203,16,19,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412530,"Hubbard, James, 1949- :[Christchurch earthquake relief funds] 27 February 2011",28/02/2011,"Hubbard, James",Northern advocate (Newspaper),NA A6,"A newspaper lying on the boardroom table has a headline reading 'Top NZ companies planning contributions to earthquake relief'. A group of CEOs at a high level meeting react badly when the chair reports that ""Some comedian suggested we CEOs donate our salary increases and bonuses... But now, moving on to serious matters..."" Context - Some big companies like Fletcher Building, General Motors and others have pledged substantial money to the Christchurch earthquake relief funds. ",Disaster relief (subject_authority) # Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority)
DCDL-0017142,17,20,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1408586,"Nisbet, Alistair, 1958- :Slow progress after Christchurch earthquakes. 19 February 2011",19/02/2011,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A21,Two men chat over the fence about the state of their houses after the 4 September earthquake in Christchurch. One of them is complaining about the slow pace of reconstruction of houses; the second man thinks they are doing their best. Context - Frustration over the slow rate of processing insurance applications and building inspections after the earthquake on 4 September 2010. In the cartoon the man's red sticker (meaning the house is uninhabitable) has faded to green after being put on the house after the September earthquake. ,Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority)
DCDL-0017173,18,21,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1410408,"Tremain, Garrick, 1941- :[Heroes in the Christchurch earthquake] 25 February 2011",26/02/2011,"Tremain, Garrick",Otago daily times (Newspaper),ODT 42,"A search and rescue worker and a volunteer dig amongst the ruins of a building. A woman nearby weeps and the man comforting her comments 'and to think we believed sports stars were our national heroes'. Context is the Christchurch earthquake of 22 February 2011 which has caused severe damage and the sense of perspective it has given residents. 
",Heroes (subject_authority) # Search and rescue operations (subject_authority) # Volunteer workers in search and rescue operations (subject_authority)
DCDL-0017152,19,23,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409934,"Evans, Malcolm Paul, 1945-:[Christchurch earthquake] 23 February 2011",04/03/2011,"Evans, Malcolm Paul",Manawatu standard (Newspaper),MS 8,Someone holds a bucket with 'Christchurch' printed on it for collecting donations. Context - People need assistance after the devastating earthquake of the 22nd February.,Empathy (subject_authority) # Disaster relief (subject_authority) # Charities (subject_authority)
DCDL-0016804,20,24,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1395208,2010 [Canterbury earthquake]. 31 December 2010,31/12/2010,"Winter, Mark",Southland times (Newspaper),ST 8,"Shows singer Elvis Presley wearing '2010' dark glasses and singing 'I'm all shook up!' Context - The Christchurch earthquake of 4 September 2010 and aftershocks which are continuing into 2011.
",Earthquake aftershocks (subject_authority)
DCDL-0015839,21,25,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1369380,"""Now that's earthquake strengthening!"" 19 October 2010",19/10/2010,"Nisbet, Alastair","Press (Christchurch, N.Z.)",P A14,"The cartoon shows a large church and two other buildings swaying around on spiral earthquake strengthening seismic restraints. As they sway they ring 'doing, doing!' Refers to the intention to strengthen buildings after the Christchurch earthquake of 4th September and its numerous after shocks.
",Earthquake resistant design (subject_authority) # Earthquake aftershocks (subject_authority)
DCDL-0017163,22,26,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409996,"Hubbard, James, 1949- :Earthquake survivors. 23 February 2011",24/02/2011,"Hubbard, James",Northern advocate (Newspaper),NA 6,"Text reads 'Earthquake survivors' and amongst the rubble of a collapsed building is a man representing 'courage' who is trapped by a concrete slab and a woman with severed legs who is reaching out to help him and who represents 'compassion'. Context - the Christchurch earthquake of 22 February 2011 in which probably more than 200 people died and an enormous amount of structural damage has been done.
",Empathy (subject_authority) # Courage (subject_authority) # Buildings - Earthquake effects (subject_authority)
DCDL-0015539,23,27,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358741,THE HELPING HAND. [Canterbury earthquake]. 9 September 2010,09/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),WT 6,"Someone representing 'government', 'neighbours', 'firemen', 'friends' etc, all of which are printed on a tshirt, reaches down with a 'helping hand' to 'Canterbury'. Refers to the Canterbury of 4th September 2010.",Disaster relief (subject_authority) # Charities (subject_authority) # Government aid (subject_authority)
DCDL-0017252,24,28,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1414175,"Tremain, Garrick 1941-:[Christchurch earthquake hastens curbs on government spending] 6 March 2011",07/03/2011,"Tremain, Garrick",Otago daily times (Newspaper),ODT 8,"Text reads 'Collateral damage'. A couple stand looking at a broken column surrounded by fallen masonry; text on the column reads 'Curbs on govt spending'. The man says 'It's a shame. It was due to be unveiled in a few weeks'. Links the damage from the Christchurch earthquake with the wider economic outlook and government spending.
",New Zealand - Economic conditions (subject_authority)
DCDL-0017179,25,29,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1393828,"Evans, Malcolm Paul, 1945-:[Courage in the Christchurch earthquake] 28 February 2011",01/03/2011,"Evans, Malcolm Paul",Manawatu standard (Newspaper),MS 8,"The cartoon shows a row of gold statuettes of Christchurch Mayor Bob Parker smiling and holding a shovel; these are 'The Bob Awards - for supporting roles in Christchurch'. Context - the earthquake on 22 February 2011 in Christchurch. Bob Parker has been seen to be a tireless and cheerful mayor in extraordinary circumstances.
","Parker, Robert John (Sir), 1953- (name_authority) # Awards (subject_authority) # Courage (subject_authority) # Heroes (subject_authority)"
DCDL-0017169,26,30,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1410006,"Tremain, Garrick, 1941-:[Christchurch earthquake puts things in perspective] 24 February 2011",25/02/2011,"Tremain, Garrick",Otago daily times (Newspaper),ODT 10,Two men sit safe amongst the devastation of an earthquake surrounded by collapsed buildings and crushed cars; one has his head in his hands and the other says 'Remind me what we were all arguing about before all this'. Context is the Christchurch earthquake on 22 February 2011 and the new perspective it has given residents. ,
DCDL-0017209,27,31,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412903,"Evans, Malcolm Paul, 1945-:[Time capsules discovered after Christchurch earthquake] 2 March 2011",02/03/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper); Manawatu standard (Newspaper),MS 8; TH 10 ,"Text above the image reads 'Time capsule discovered under founder's statue-' The statue of John Robert Godley, the founder of Christchurch, has toppled and a time capsule has been uncovered in the rubble by three rescue workers. One of them reads the document he has pulled out of the capsule and it says 'Personally I favoured Akaroa...' Context the Christchurch earthquake of 22 February 2011 after which 2 time capsules were found under the John Robert Godfrey statue - they have been sent to Museum experts to open. Akaroa was largely unaffected by the earthquake. ","Godley, John Robert, 1814-1861 (name_authority) # Statues (subject_authority) # Time capsules - New Zealand - Canterbury Region (subject_authority)"
DCDL-0017181,28,35,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1393834,"Hawkey, Allan Charles 1941-:[Looting after the Christchurch earthquake] 25 February 2011",25/02/2011,"Hawkey, Allan Charles",Waikato times (Newspaper),WT 6,"A policeman and his dog stop outside a house wrecked in the Christchurch earthquake and phone for assistance saying 'Have found signs of low-life' because he can see 'Christchurch looting in progress'. Context is the Christchurch earthquake on 22 February 2011, and subsequent reports of looting.",Pillage (subject_authority)
DCDL-0017200,29,36,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1402032,"Smith, Hayden James, 1976-:[Christchurch Cathedral after the earthquake] 23 February 2011",23/02/2011,"Smith, Hayden James",Otago daily times (Newspaper),ODT 18,"The cartoon shows the Christchurch Cathedral surrounded by rubble and with its steeple gone. The bell lies on the ground and pieces of broken stone form the word 'tragedy'. Context - The Christchurch earthquake 22 February 2011.
","Christchurch Cathedral (Christchurch, N.Z.) (name_authority) # Buildings - Earthquake effects (subject_authority)"
DCDL-0017160,30,38,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409961,"Winter, Mark 1958-:[Christchurch earthquake] ""These deaths are our greatest loss. 24 February 2011",24/02/2011,"Winter, Mark",Southland times (Newspaper),ST 8,"The cartoon shows the name in large capital letters 'Christchurch' with the 't' drawn as the Christian cross symbol. Below is text reading '""These deaths are our greatest loss. They remind us that buildings are just buildings, roads just roads, but people are irreplaceable"" John Key' Context - The very severe Christchurch earthquake of 22 February 2011.
","Key, John Phillip (Rt Hon), 1961- (name_authority)"
DCDL-0017208,31,39,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412898,"Bromhead, Peter, 1933-:[Business victims of Christchurch earthquake consider their options] 3 March 2011",03/03/2011,"Bromhead, Peter",Marlborough Express (Newspaper),ME 6,A man carrying a life-saving ring printed with the words 'Marlborough Chamber of Commerce' that is attached to a rope labelled 'Business lifeline' shouts 'Ahoy Christchurch businesses!' Context - enticing Christchurch businesses to other places after the earthquake. Marlborough Chamber of Commerce general manager Brian Dawson said the chamber's first priority was supporting Christchurch businesses through their association with the Canterbury Chamber of Commerce.,Business - Earthquake effects (subject_authority)
DCDL-0017164,32,40,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409997,"Hubbard, James, 1949- :[Looter problems following the Christchurch earthquake] 24 February 2011",25/02/2011,"Hubbard, James",Northern advocate (Newspaper),NA 6,The cartoon shows the lid of a sewer that has been dislodged allowing cockroaches labelled 'looter' to crawl out. Context - the Christchurch earthquake of 22 February 2011 and reports of subsequent lootings.,Pillage (subject_authority)
DCDL-0017230,33,41,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1414000,"Evans, Malcolm Paul, 1945-:[Gerry Brownlee rebuilds Christchurch after the 2011 earthquake] 6 March 2011",07/03/2011,"Evans, Malcolm Paul","Press (Christchurch, N.Z.); Timaru herald (Newspaper); Manawatu standard (Newspaper)",MS 12; P A16; TH 7,"The cartoon shows a monstrous machine with an enormous crushing ball attached to a giant crane. It moves past a signpost that points towards Christchurch. A man watches and tells his friend 'Gerry Brownlee borrowed it from Auckland! Context - Brownlee has caused a stir by suggesting that if he had his way some of Christchurch's older buildings would be ""down tomorrow"". He also said the price of saving some historic buildings badly damaged in the February 22 earthquake was too high.
","Brownlee, Gerard Anthony (Hon), 1956- (name_authority) # Buildings - Earthquake effects (subject_authority) # Buildings - Repair and reconstruction - New Zealand - Canterbury Region (subject_authority) # Historic buildings - Conservation and restoration (subject_authority) # Lost architecture (subject_authority)"
DCDL-0017307,34,42,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1418155,"Slane, Christopher, 1957-:[Restoring historic buildings post earthquake in Christchurch] 11 March 2011",19/03/2011,"Slane, Christopher",Listener (Serial),L 15,"Prime Minister John Key drives a tractor to which is attached a crane and a huge demolition ball in the shape of MP Gerry Brownlee's head; the ball smashes against a historic building bringing stone pediments down. Context - Gerry Brownlee, who is Earthquake Recovery Minister, has caused a stir by suggesting that if he had his way some of Christchurch's older buildings would be ""down tomorrow"". He also said the price of saving some historic buildings badly damaged in the February 22 earthquake was too high. ","Brownlee, Gerard Anthony (Hon), 1956- (name_authority) # Key, John Phillip (Rt Hon), 1961- (name_authority) # Historic buildings - Conservation and restoration (subject_authority) # Lost architecture (subject_authority)"
DCDL-0017217,35,43,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412923,"Scott, Thomas, 1947- :[Building code and the Christchurch earthquake] 2 March 2011",02/03/2011,"Scott, Thomas",Dominion post (Newspaper),DP B4,A rescue worker carries a dead body out of the crumbled remains of a building. Nearby is a copy of the 'Building Code'. Context - there are questions being asked about whether some of the buildings that collapsed too readily in the Christchurch earthquake of 22 February 2011 had been subject to stringent enough building code regulations. ,Earthquake resistant design (subject_authority)
DCDL-0017170,36,44,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1410008,"Winter, Mark 1958-:The earth takes... the world gives [Christchurch earthquake] 25 February 2011",25/02/2011,"Winter, Mark",Southland times (Newspaper),ST 6,"Text reads 'The earth takes... the world gives'. The cartoon shows an image of the globe with New Zealand in the centre - the continents seem to have formed themselves into a grieving face and arms which reach out to New Zealand. Context - on 22 February 2011 a 6.3 magnitude earthquake struck in Christchurch causing severe damage.
",Generosity (subject_authority) # Disaster relief (subject_authority)
DCDL-0017157,37,45,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409956,"Scott, Thomas, 1947-:""It's just not fair..."" [Christchurch earthquake] 23 February 2011",23/02/2011,"Scott, Thomas",Dominion post (Newspaper),DP B4,"Text reads '""It's just not fair"" Australian Foreign Minister Kevin Rudd speaks for all of us' The cartoon shows a part of Christchurch devastated by the earthquake of 22 February 2011, including a car crushed by bricks. ",Buildings - Earthquake effects (subject_authority)
DCDL-0017207,38,46,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412897,"Bromhead, Peter, 1933-:[Time capsules unearthed after the Christchurch earthquake] 2 March 2011",02/03/2011,"Bromhead, Peter",Marlborough Express (Newspaper),ME 7,"Text above the image reads 'Time capsules unearthed in Christchurch' A man reads a newspaper which says 'Petrol is so cheap you can actually afford to run one of these new-fangled motor cars...' Context - when a bronze statue of Christchurch founder John Robert Godley, which stood in Cathedral Square, toppled during the Christchurch earthquake of 22 February 2011, a crane driver clearing rubble discovered two time capsules. ","Godley, John Robert, 1814-1861 (name_authority) # Statues (subject_authority) # Time capsules - New Zealand - Canterbury Region (subject_authority) # Fuel - Prices (subject_authority)"
DCDL-0017246,39,47,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1414161,"Winter, Mark 1958-:[Search for survivors of Christchurch earthquake called off] 4 March 2011",04/03/2011,"Winter, Mark",Southland times (Newspaper),ST 6,Three versions of a cartoon on survivors of the Christchurch earthquake. The published version shows the Christchurch Anglican Cathedral in ruins with the word survivors printed over the top and fading out to the right. One version just features the fading word survivors and the other includes the news that the search has been called off. ,Search and rescue operations (subject_authority) # Disaster victims (subject_authority)
DCDL-0017223,40,48,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1413982,"Clark, Laurence, 1949-:[Survivors' guilt after the Christchurch earthquake] 5 March 2011",05/03/2011,"Clark, Laurence",Northern advocate (Newspaper),NA A6,"A man reads about the Christchurch earthquake in the newspaper and although he can count on two months of warm weather he feels bad, suffering from survivors' guilt. His wife tells him that it will be raining for most of the time over the next couple of months, which makes him feel better. Context - The Christchurch earthquake of 22 February 2011.
",Disasters - Psychological aspects (subject_authority)
DCDL-0017166,41,49,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1410002,"Evans, Malcolm Paul, 1945-:[Christchurch earthquakes and Pike River Mine] 24 March 2011",25/02/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper); Manawatu standard (Newspaper),MS 12; TH 7,The cartoon shows the hands of two people joined in mutual despair and kindness. One represents 'Christchurch' and the other the 'Pike River Mine'. Context - the 22 February earthquake in Christchurch and the Pike River Mine disaster which occurred on the West Coast on 19 November 2010 and caused the deaths of 29 coal miners ,Pike River Coal Company (name_authority) # Empathy (subject_authority) # Pike Stream (place_authority) # Coal mine accidents - New Zealand (subject_authority)
DCDL-0017216,42,50,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412921,"Hawkey, Allan Charles, 1941- :[Helping after the Christchurch earthquake] 2 March 2011",02/03/2011,"Hawkey, Allan Charles",Waikato times (Newspaper),WT 6,"The cartoon shows an arm clothed in a blue shirt which is covered with the printed names of all the people and organisations who have provided assistance to the people of Christchurch since the earthquake of 22 February 2011. The include 'neighbours', 'charities', 'communities', 'church groups etc.
",Disaster relief (subject_authority) # Generosity (subject_authority) # Volunteer workers in search and rescue operations (subject_authority) # Search and rescue operations (subject_authority) # Emergency management (subject_authority)
DCDL-0017162,43,51,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409995,"Hubbard, James, 1949- :[Christchurch earthquake] Let's get this all in perspective. 22 February 2011",23/02/2011,"Hubbard, James",Northern advocate (Newspaper),NA 6,"In the top panel a kiwi reads the newspaper which has headlines reading 'Milk prices', 'BMW limos', 'Dodgy politicians', and 'Foreign despot news' and says 'Let's get this all in perspective'. In the lower panel the kiwi walks among the ruins and the graves of Christchurch and thinks 'Christchurch and Canterbury need our attention and care!!' Context - the Christchurch earthquake of 22 February 2011. The headlines refer to Fonterra putting a freeze on the price of milk, the government buying expensive limos (both of these making headlines because of the state of the economy) and lastly the 'foreign despot' is Gaddafi in Libya.",Empathy (subject_authority)
DCDL-0017231,44,52,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1414004,"Evans, Malcolm Paul, 1945-:[Loving a rock after the Christchurch earthquake] 7 March 2011",08/03/2011,"Evans, Malcolm Paul",Timaru herald (Newspaper); Manawatu standard (Newspaper),MS 10; TH 7,"A cheerful old woman sits with a cup of tea on her sofa watching television with an enormous boulder beside her. She says ""Big and solid it reminded me of my late husband but then I realised that in two weeks it hasn't once broken wind, belched or called for a beer, or gone and changed the channel and I think I'm in love!"" The little Evans man says 'Stone me!' Context - The Christchurch earthquake of 22 February 2011. Some people remain cheerful and optimistic in spite of dreadfully difficult conditions.
",Disasters - Psychological aspects (subject_authority)
DCDL-0017159,45,53,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1409960,"Winter, Mark, 1958-:22.2.11 [Christchurch earthquake] 23 February 2011",23/02/2011,"Winter, Mark",Southland times (Newspaper),ST 10,"Two cartoons. The version run shows the date 22.2.11 with a richter scale measurement behind. The version not run shows the Christchurch Anglican Cathedral tower in ruins and without its steeple. Above the drawing is the date '22.2.11'. Context - On 22 February 2011 at 12:51 pm (NZDT), Christchurch experienced a major magnitude 6.3 earthquake, which resulted in severe damage and many casualties. The cathedral tower has collapsed and there has been devastating damage to the remaining structure. ",Richter scale (subject_authority)
DCDL-0017211,46,54,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1412906,"Evans, Malcolm Paul, 1945-:[Leaving Christchurch after the earthquake] 3 March 2011",03/03/2011,"Evans, Malcolm Paul",Manawatu standard (Newspaper),MS 9; ,"Two men working on the cleanup after the Christchurch earthquake of 22 February 2011 stop for a chat. One says 'Did I tell you my family was on the first ship!' and the other replies 'Blow that! - I got mine out on the first plane!' Context - the 22 February earthquake in Christchurch. The first man is talking about his ancestors coming to New Zealand in the 1840s and the second man is talking about sending his family out of Christchurch after the earthquake - quake refugees.
",
