identifier,TopicValue2,Topic,TopicValue,Record.Index,origin_url,title,Date,Month,Cartoonists,Publisher,Republished,Page.no,description,Authorities,SubjectAuthorities,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,BuildingsEarthquakeEffect,Aftershocks,BuildingsRepairReconstruction,CityPlanning,Disasters_PsychologicalAspects,Sewerage,InfrastructureEconomics,Courage,World.Cup,EconomicCondition,people_business_cbd_large_red_zone_owners_house,rubble_time_title_pm_plan_people_toilet,red_city_areas_red_zone_liquefaction_black_wearing,people_rescue_arm_surrounded_weeks_rubble_hand,finance_bill_english_holds_economy_large_represents_chch,portaloo_damage_house_toilet_portaloos_problems_back,buildings_march_huge_caused_kiwi_city_japan,aftershocks_word_liquefaction_aftershock_humour_version_great,buildings_people_heading_building_rebuild_refugees_city,move_zone_homes_orange_people_june_made,rugby_government_damage_cost_billion_auckland_prime,south_island_finance_reading_represents_damage_hit,bob_parker_mayor_elections_anderton_local_body_october,people_moon_asks_ken_ring_day_replies_predictions,cera_recovery_eqc_house_prime_work_shipping,council_city_government_tony_marryatt_pay_rise_comments_public,insurance_ami_companies_home_damage_version_company
DCDL-0015552,11.9564032697548,rugby_government_damage_cost_billion_auckland_prime,0.956403269754768,277,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358758,"AFTERSHOCK$$$$$$$$$$ $2 Billion/ $4 Billion. [Canterbury earthquake]. 9 September 2010",09/09/2010,2010-09,"Winter, Mark",Southland times (Newspaper),0,"ST 6","Text reads AFTERSHOCK 2 billion 4 billion Refers to the estimated costs resulting from the Canterbury earthquake of 4th September 2010 The 2 is crossed out and the Treasury pen writes 4 in its place","Earthquake damage (subject_authority) # Earthquake aftershocks (subject_authority)","Earthquake damage (subject_authority) # Earthquake aftershocks (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.956403269754768,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698
DCDL-0015558,13.7356181150551,bob_parker_mayor_elections_anderton_local_body_october,0.73561811505508,107,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359992,""The mayor is promising to 'MOVE OUR DISTRICT FORWARD'" "With all the NEW JOBS on offer in Christchurch maybe he should move our district down there?" 11 September 2010",11/09/2010,2010-09,"Clark, Laurence",Northern advocate (Newspaper),0,"NA 6","Shows a couple in their car driving along a road with election billboards The mancomments that the mayor is promising to move our district forward and his partner suggests that with all the new jobs down in Christchurch maybe he should move the district down there Probably refers to mayoral hopefuls in the 9 October local body election in Whangarei","Mayors - Election (subject_authority) # Unemployment (subject_authority) # Local elections (subject_authority)","Mayors - Election (subject_authority) # Unemployment (subject_authority) # Local elections (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.246022031823745,0.00122399020807834,0.00122399020807834,0.73561811505508,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834
DCDL-0015561,15.9815455594002,cera_recovery_eqc_house_prime_work_shipping,0.981545559400231,190,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359995,""In the event of a natural disaster - Harold wants enough provisions to see us through to the Rugby World Cup" 13 September 2010",13/09/2010,2010-09,"Hawkey, Allan Charles",Waikato times (Newspaper),0,"WT 13","A woman chats over her garden wall to a passerby who is curious about a huge container like structure labeled emergency kit that has been built beside the house She says that in the event of a natural disaster Harold wants to ensure that they will have enough provisions to see them through the Rugby World Cup Context is heightened awareness of earthquake preparedness in the wake of the Christchurch earthquake on 4 September 2010","World Cup (Rugby football) (7th ; 2011 ; New Zealand) (subject_authority) # Survival and emergency equipment (subject_authority)","World Cup (Rugby football) (7th ; 2011 ; New Zealand) (subject_authority) # Survival and emergency equipment (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.981545559400231,0.00115340253748558,0.00115340253748558
DCDL-0015562,13.9873717442778,bob_parker_mayor_elections_anderton_local_body_october,0.987371744277822,168,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359996,""I'm still here!" Jim Anderton for Mayor. 14 September 2010",14/09/2010,2010-09,"Hawkey, Allan Charles",Waikato times (Newspaper),0,"WT 6","MP Jim Anderton who is standing for Mayor of Christchurch in the coming local body elections 9th October stands up to his chest in a crack in the road waving a sign that reads Jim Anderton for mayor and yelling I m still here Refers to the very high profile that his rival the standing mayor Bob Parker has enjoyed in the aftermath of the Christchurch earthquake of 4th September 2010","Anderton, James Patrick (Hon), 1938- (name_authority) # Parker, Robert John (Sir), 1953- (name_authority) # Mayors - Election (subject_authority) # Local elections (subject_authority)","Mayors - Election (subject_authority) # Local elections (subject_authority)","Anderton, James Patrick (Hon), 1938- (name_authority) # Parker, Robert John (Sir), 1953- (name_authority)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.987371744277822,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148
DCDL-0015572,12.5093733261918,south_island_finance_reading_represents_damage_hit,0.509373326191751,289,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1360012,"Cracks in the pedestal.... 14 September 2010",15/09/2010,2010-09,"Hodgson, Trace",Nelson mail (Newspaper),1,"NM 13; DP B4","Prime Minister John Key stands grinning on a cracked pedestal bearing the words Most popular P M In the background is the Beehive flying a skull and crossbones flag The landscape is a desert with cactus and dried bones and a vulture in a bare tree A man and a woman comment that it looks as though the quake may have done damage in Wellington after all that and the crash of the SCF fund Refers to two major events in the Canterbury area in recent times that have incurred huge government costs these are the collapse of the South Canterbury Finance Company and the earthquake that struck early Saturday morning 4th September The South Canterbury Finance Company has been taken into receivership by the government and treasury is assuming that the cost of the earthquake will reach 4 billion","Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority) # Business failures (subject_authority) # Savings and loan association failures (subject_authority) # New Zealand - Economic conditions (subject_authority) # Earthquake damage (subject_authority)","Business failures (subject_authority) # Savings and loan association failures (subject_authority) # New Zealand - Economic conditions (subject_authority) # Earthquake damage (subject_authority)","Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0273165506159614,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.429030530262453,0.509373326191751,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.0273165506159614
DCDL-0015573,11.4958723170061,rugby_government_damage_cost_billion_auckland_prime,0.495872317006054,178,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1358491,"SEISMIC UPHEAVAL. "I feel your pain, Bill" 10 September 2010",18/09/2010,2010-09,"Slane, Christopher",Listener (Serial),0,"L 19","The cartoon is entitled seismic upheaval Prime Minister John Key and Finance Minister Bill English stand near cracks in the ground and stare sadly at a huge wallet Bill s boodle Vast quantities of banknotes spill out and the wallet also contains a travel card a house card and an expenses card Etched in the ground are the words Christchurch quake and South Canterbury Finance two major events in the Canterbury area that have incurred huge government costs The South Canterbury Finance Company has been taken into receivership by the government Treasury is assuming that the cost of the earthquake will reach 4 billion","English, Simon William (Hon), 1961- (name_authority) # Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority) # New Zealand - Economic conditions (subject_authority) # Savings and loan association failures (subject_authority) # Business failures (subject_authority)","New Zealand - Economic conditions (subject_authority) # Savings and loan association failures (subject_authority) # Business failures (subject_authority)","English, Simon William (Hon), 1961- (name_authority) # Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.110621904237755,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.495872317006054,0.385800770500826,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142
DCDL-0015605,12.851387645479,south_island_finance_reading_represents_damage_hit,0.851387645478962,183,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359952,"Life in the South Island.. 20 September 2010",20/09/2010,2010-09,"Bromhead, Peter",Marlborough Express (Newspaper),0,"ME 6","The cartoon s title is Life in the South Island A man wonders aloud to his wife when the plague of locusts will arrive as they have had collapsing finance companies earthquakes and heavy snow damage Refers to the collapse of South Canterbury Finance the earthquake of 4th September and more recently heavy snow in Southland that has caused roofs to collapse","South Canterbury Finance Ltd (name_authority) # Savings and loan association failures (subject_authority) # Snow - New Zealand (subject_authority)","Savings and loan association failures (subject_authority) # Snow - New Zealand (subject_authority)","South Canterbury Finance Ltd (name_authority)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.851387645478962,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.135183527305282
DCDL-0015607,9.39429695181908,buildings_people_heading_building_rebuild_refugees_city,0.394296951819076,286,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1359955,"THE LATEST DESIGN IN HOUSING FOR LIVING WITH NATURAL HAZARDS. 18 September 2010",18/09/2010,2010-09,"Clark, Laurence",Northern advocate (Newspaper),0,"NA 8","The cartoon shows a family standing proudly in front of their tent which has No leaks is Earthquake proof and Affordable An Optional extra is an inflatable base for tsunami prone areas Text below reads Not suitable for volcanic areas Refers to the problems that have been experienced in the last couple of decades with leaky homes and to the Canterbury earthquake of 4th September with its aftermath of rebuilding for greater earthquake proofing and to the problem of housing affordability","Dampness in buildings (subject_authority) # Building (subject_authority) # Housing (subject_authority) # Natural disasters (subject_authority) # Earthquake resistant design (subject_authority)","Dampness in buildings (subject_authority) # Building (subject_authority) # Housing (subject_authority) # Natural disasters (subject_authority) # Earthquake resistant design (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000983284169124877,0.000983284169124877,0.295968534906588,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.394296951819076,0.0993117010816126,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.0501474926253687,0.000983284169124877,0.148475909537856
DCDL-0015611,8.77562862669246,aftershocks_word_liquefaction_aftershock_humour_version_great,0.775628626692456,282,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1361815,"Scott, Thomas, 1947-:'Whoa! Is this another quake?' 21 September 2010",21/09/2010,2010-09,"Scott, Thomas",Dominion post (Newspaper),1,"DP B4; NM 11","A house rocks in the night but the occupants are reassured that it is not another quake only an aftershock which although it causes the walls to crumble is nothing to worry about Refers to the Canterbury earthquake of 4th September and the dozens of aftershocks that cause continuing tension and anxiety but also to so called quake humour to cope with the stress","Earthquake aftershocks (subject_authority)","Earthquake aftershocks (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.195357833655706,0.00193423597678917,0.775628626692456,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917
DCDL-0015616,8.60191846522782,aftershocks_word_liquefaction_aftershock_humour_version_great,0.601918465227818,278,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1361823,"Canterbury from the air... AFTERSHOCKS. 6 September 2010",06/09/2010,2010-09,"Nisbet, Alastair",Press (Christchurch, N.Z.) (Newspaper),0,"P A18 (Special EQ edition)","The word AFTERSHOCKS appears printed across the Canterbury landscape Text reads Canterbury from the air Refers to the earthquake of 4th September and the frequent aftershocks that continued for at least two weeks","Earthquake aftershocks (subject_authority)","Earthquake aftershocks (subject_authority)","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.3621103117506,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.601918465227818,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015626,12.538048343778,south_island_finance_reading_represents_damage_hit,0.538048343777977,264,http://tapuhi.natlib.govt.nz/cgi-bin/spydus/NAV/GLOBAL/OPHDR/1/1361834,""This can't be repaired, it needs to be condemned..." 20 September 2010",21/09/2010,2010-09,"Hubbard, James",Northern advocate (Newspaper),0,"NZ 6","Maori Party MP for Te Tai Tonga Rahui Katene s head breaks off collapses as rubble as she reads a newspaper headline referring to her statement that the aftermath of the earthquake has demonstrated racism and ethnic profiling Two engineers who are examining the damage decide that This can t be repaired it needs to be condemned Rahui Katene says the authorities who kicked a Christchurch family out of a welfare centre that was set up after the earthquake on 4 September should apologise for judging them too early and shaming them publicly Mrs Katene was also concerned about claims that Maori youth were being targeted by police","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.179946284691137,0.000895255147717099,0.000895255147717099,0.538048343777977,0.000895255147717099,0.0456580125335721,0.224709042076992,0.000895255147717099,0.000895255147717099
